Squad,Comp,Cluster
Bayern Munich,Bundesliga,1
Barcelona,La Liga,1
Manchester City,Premier League,1
Paris S-G,Ligue 1,1
Real Madrid,La Liga,1
Dortmund,Bundesliga,2
Atlético Madrid,La Liga,2
Arsenal,Premier League,2
Juventus,Serie A,2
Leverkusen,Bundesliga,2
Liverpool,Premier League,2
Lille,Ligue 1,2
Inter,Serie A,2
Lazio,Serie A,2
Chelsea,Premier League,2
Atalanta,Serie A,2
Lyon,Ligue 1,2
Napoli,Serie A,2
Milan,Serie A,2
Marseille,Ligue 1,2
Stuttgart,Bundesliga,2
Roma,Serie A,2
Girona,La Liga,2
Celta Vigo,La Liga,2
Bochum,Bundesliga,3
Empoli,Serie A,3
Genoa,Serie A,3
Espanyol,La Liga,3
Getafe,La Liga,3
Heidenheim,Bundesliga,3
Ipswich Town,Premier League,3
Hellas Verona,Serie A,3
Monza,Serie A,3
Nantes,Ligue 1,3
Mallorca,La Liga,3
Montpellier,Ligue 1,3
Le Havre,Ligue 1,3
Leicester City,Premier League,3
Lecce,Serie A,3
Leganés,La Liga,3
Saint-Étienne,Ligue 1,3
St. Pauli,Bundesliga,3
Southampton,Premier League,3
Reims,Ligue 1,3
Cagliari,Serie A,3
Angers,Ligue 1,3
Augsburg,Bundesliga,3
Alavés,La Liga,3
Venezia,Serie A,3
Valladolid,La Liga,3
Torino,Serie A,3
Union Berlin,Bundesliga,3
Monaco,Ligue 1,4
Manchester Utd,Premier League,4
Eint Frankfurt,Bundesliga,4
Brighton,Premier League,4
Como,Serie A,4
Aston Villa,Premier League,4
Bournemouth,Premier League,4
Betis,La Liga,4
Brentford,Premier League,4
Bologna,Serie A,4
Crystal Palace,Premier League,4
Fulham,Premier League,4
Villarreal,La Liga,4
Tottenham,Premier League,4
Nice,Ligue 1,4
Newcastle Utd,Premier League,4
Lens,Ligue 1,5
Mainz 05,Bundesliga,5
Gladbach,Bundesliga,5
Las Palmas,La Liga,5
Brest,Ligue 1,5
Everton,Premier League,5
Auxerre,Ligue 1,5
Athletic Club,La Liga,5
Holstein Kiel,Bundesliga,5
Hoffenheim,Bundesliga,5
Freiburg,Bundesliga,5
Fiorentina,Serie A,5
Sevilla,La Liga,5
Rennes,Ligue 1,5
Real Sociedad,La Liga,5
Nott'ham Forest,Premier League,5
Osasuna,La Liga,5
Parma,Serie A,5
RB Leipzig,Bundesliga,5
Rayo Vallecano,La Liga,5
Udinese,Serie A,5
Toulouse,Ligue 1,5
Strasbourg,Ligue 1,5
Valencia,La Liga,5
Werder Bremen,Bundesliga,5
West Ham,Premier League,5
Wolfsburg,Bundesliga,5
Wolves,Premier League,5
